TIC,TOI,Disposition,Disposition,Detection,Period,Duration,Planet_Radius,Stellar_Radius,Sectors
168281028,6269.01,KP,KP,SPOC,4.3744613803651,3.0484494414978,6.4637765204215,1.115630030632,62
8767448,1767.01,KP,KP,SPOC/QLP,4.3532339,3869,16.2509,1.59,"21,48"
272213425,1904.01,KP,KP,QLP,4.3247708,4267,17.0257,2.13,"10,37"
436478932,5963.01,KP,KP,SPOC,4.3226229418578,3.3699024669902,15.154694287394,1.3475699424744,56
437242640,744.01,KP,KP,SPOC,4.3176859,1822,13.3926,1.11,"9,36,63"
288246496,6015.01,KP,KP,SPOC,4.3048290138949,3.5311266334049,13.839540234604,1.5128400325775,57
168699373,1841.01,KP,KP,SPOC,4.3011975,2982,15.3684,1.03,"16,23,49,50"
437333618,843.01,KP,KP,UNKNOWN,4.2986477,3027,14188,1.12,"11,37"
420779000,5632.01,KP,KP,SPOC,4.2342153119906,2.5166257419024,7.0962993810264,0.85977798700333,50
102192004,1919.01,KP,KP,QLP,4.2337078,2008,19.6222,1.46,"10,11,37"
158388163,4445.01,KP,KP,SPOC,4.2253498253575,2.7695297378725,8.8893196604141,1.031219959259,"40,41,53,55"
61205803,3636.01,KP,KP,QLP,4.2186625028005,3.2580997761119,13.69767776833,1.0068900585175,"17,57"
114299824,1923.01,KP,KP,QLP,4.2041585,2124,12.1025,1.07,"7,34"
53750200,1914.01,KP,KP,QLP,4.1933422089677,1.8220995961108,11.542570231153,1.627760052681,"6,7,33,34"
9155187,5373.01,KP,KP,SPOC,4.1878374782312,2.9905903597651,11.76950647634,1.1000699996948,47
4616072,466.01,KP,KP,UNKNOWN,4.187615381503,3.0070216883843,13.900236877762,1.2373299598694,"6,7,33"
169226822,675.01,KP,KP,SPOC/QLP,4.1779929,4144,15.3075,1.35,"9,35,46,62,72"
269217040,6686.01,KP,KP,SPOC/QLP,4.1661265283045,3.7000326564662,14.536562913168,1.1559900045395,67
102264230,4539.01,KP,KP,SPOC/QLP,4.1591488,3.54,12.1616,1.11,42
9725627,239.01,KP,KP,SPOC,4.1567863584057,3.9618075054152,9.7108657686796,1.3883099555969,"2,29,42"
232038798,1909.01,KP,KP,QLP,4.1536624,1702,12.7595,1.09,"6,7,32,33,34"
51234631,1721.01,KP,KP,SPOC/QLP,4.1250429,4454,15.3479,1.62,"20,47,60,74"
17993892,1800.01,KP,KP,SPOC,4.1244833,3567,12.4249,1.26,"22,48"
454069765,4916.01,KP,KP,QLP,4.1197036,4547,9.06392,1.79,"10,36,37"
97735908,4612.01,KP,KP,SPOC/QLP,4.1137862,5235,15.0368,1.88,"43,44,45,71"
14344979,1927.01,KP,KP,QLP,4.1117722880648,2.1296890191273,15.258204672994,0.91616398096085,"9,35,45,46"
26017005,4535.01,KP,KP,SPOC/QLP,4.0984866,2191,14.9032,1.06,"42,43,44,70,71"
231670397,104.01,KP,KP,SPOC,4.0872956,5.5861130474761,13.62377317646,2.2186698913574,"1,27,67"
53735810,661.01,KP,KP,UNKNOWN,4.0860569346571,4.4736394445415,12.910721796164,1.4774099588394,"9,36"
164786087,4440.01,KP,KP,SPOC,4.0822893892111,3.2882556787492,,,"40,41,53,54,55"
181949561,5675.01,KP,KP,SPOC,4.0548695469509,2.8063408720323,15.544686359695,1.0134199857712,51
380907135,4536.01,KP,KP,SPOC/QLP,4.0460644,5824,18.2851,1.81,"42,43,70"
234112540,537.01,KP,KP,UNKNOWN,4.0379012433074,2.9331124453731,18.382674046646,1.272989988327,"6,33"
281909674,534.01,KP,KP,SPOC,4.0350444384329,2.8526162763938,12.53306061678,1.137069940567,"6,33"
610976842,4545.01,KP,KP,QLP,4.0248735,2384,11.6786,0.75,"42,43,70"
9443323,6052.01,KP,KP,SPOC,4.0135700487779,4.1381201768449,14.954478881583,1.5301200151443,59
267650535,3597.01,KP,KP,QLP,4.0088245035423,2.7370959388561,11.544426196776,0.79569602012634,"17,57"
98669309,5173.01,KP,KP,SPOC,4.003577329939,2.0958153283014,12.962787852577,1.0849200487137,46
92352620,107.01,KP,KP,SPOC,3.9502008,4444,20.5357,1.71,"1,27,68"
236312126,2021.01,KP,KP,QLP,3.9415041,2866,13.8352,0.92,"24,25,51"
371234684,1731.01,KP,KP,SPOC,3.9228042,3205,15.8493,1.3,"20,47"
183537452,192.01,KP,KP,SPOC/QLP,3.9227122,2555,7.23153,0.64,"2,29,69"
459730973,5820.01,KP,KP,SPOC,3.9156848046704,3.5847759896779,16.708372910873,1.8382300138473,55
271354351,4426.01,KP,KP,SPOC,3.9051260405231,2.9136918725265,14.549943057444,0.9474750161171,"40,41,54"
375942197,5815.01,KP,KP,SPOC,3.8993831386464,5.1857346613628,15.263658181731,1.8622200489044,55
42821097,548.01,KP,KP,UNKNOWN,3.8971202606155,4.8258882068622,13.493222749311,1.6395000219345,"6,33"
248853232,5823.01,KP,KP,SPOC/QLP,3.8681492175275,2.1610194568107,12.265890284409,0.87759101390839,55
13021029,439.01,KP,KP,SPOC/QLP,3.8558899809667,3.9555399273548,14.52229131125,1.432559967041,"5,32"
272366748,5824.01,KP,KP,SPOC,3.8555896898932,3.237964370373,13.965462183428,1.052680015564,"41,55"
157266693,1929.01,KP,KP,QLP,3.8537616,3392,14.7144,1.06,"10,36,37"
176899385,1373.01,KP,KP,QLP,3.8529962,3.36,15.6058,1.57,"16,17,57"
377873569,4480.01,KP,KP,SPOC,3.8493845598361,2.6908269212109,16.808800078458,3.9119100570679,"41,54,55"
77156657,1903.01,KP,KP,QLP,3.8404319,5242,12.3434,2.04,"4,5,31,32"
270380593,465.01,KP,KP,UNKNOWN,3.8361619051076,2.3846336842077,6.1100888217793,0.84737998247147,"4,31,42,43"
